route_id,service_id,trip_id,direction_id,shape_id
CMRL_1,weekday,CMRL_1_weekday_d0_05,0,CMRL_1_0
CMRL_1,weekday,CMRL_1_weekday_d0_08,0,CMRL_1_0
CMRL_1,weekday,CMRL_1_weekday_d0_11,0,CMRL_1_0
CMRL_1,weekday,CMRL_1_weekday_d0_17,0,CMRL_1_0
CMRL_1,weekday,CMRL_1_weekday_d0_20,0,CMRL_1_0
CMRL_1,weekday,CMRL_1_weekday_d0_22,0,CMRL_1_0
CMRL_1,weekday,CMRL_1_weekday_d1_05,1,CMRL_1_1
CMRL_1,weekday,CMRL_1_weekday_d1_08,1,CMRL_1_1
CMRL_1,weekday,CMRL_1_weekday_d1_11,1,CMRL_1_1
CMRL_1,weekday,CMRL_1_weekday_d1_17,1,CMRL_1_1
CMRL_1,weekday,CMRL_1_weekday_d1_20,1,CMRL_1_1
CMRL_1,weekday,CMRL_1_weekday_d1_22,1,CMRL_1_1
CMRL_1,saturday,CMRL_1_saturday_d0_05,0,CMRL_1_0
CMRL_1,saturday,CMRL_1_saturday_d0_08,0,CMRL_1_0
CMRL_1,saturday,CMRL_1_saturday_d0_11,0,CMRL_1_0
CMRL_1,saturday,CMRL_1_saturday_d0_17,0,CMRL_1_0
CMRL_1,saturday,CMRL_1_saturday_d0_20,0,CMRL_1_0
CMRL_1,saturday,CMRL_1_saturday_d0_22,0,CMRL_1_0
CMRL_1,saturday,CMRL_1_saturday_d1_05,1,CMRL_1_1
CMRL_1,saturday,CMRL_1_saturday_d1_08,1,CMRL_1_1
CMRL_1,saturday,CMRL_1_saturday_d1_11,1,CMRL_1_1
CMRL_1,saturday,CMRL_1_saturday_d1_17,1,CMRL_1_1
CMRL_1,saturday,CMRL_1_saturday_d1_20,1,CMRL_1_1
CMRL_1,saturday,CMRL_1_saturday_d1_22,1,CMRL_1_1
CMRL_1,sunday,CMRL_1_sunday_d0_05,0,CMRL_1_0
CMRL_1,sunday,CMRL_1_sunday_d0_12,0,CMRL_1_0
CMRL_1,sunday,CMRL_1_sunday_d0_20,0,CMRL_1_0
CMRL_1,sunday,CMRL_1_sunday_d0_22,0,CMRL_1_0
CMRL_1,sunday,CMRL_1_sunday_d1_05,1,CMRL_1_1
CMRL_1,sunday,CMRL_1_sunday_d1_12,1,CMRL_1_1
CMRL_1,sunday,CMRL_1_sunday_d1_20,1,CMRL_1_1
CMRL_1,sunday,CMRL_1_sunday_d1_22,1,CMRL_1_1
CMRL_2,weekday,CMRL_2_weekday_d0_05,0,CMRL_2_0
CMRL_2,weekday,CMRL_2_weekday_d0_08,0,CMRL_2_0
CMRL_2,weekday,CMRL_2_weekday_d0_11,0,CMRL_2_0
CMRL_2,weekday,CMRL_2_weekday_d0_17,0,CMRL_2_0
CMRL_2,weekday,CMRL_2_weekday_d0_20,0,CMRL_2_0
CMRL_2,weekday,CMRL_2_weekday_d0_22,0,CMRL_2_0
CMRL_2,weekday,CMRL_2_weekday_d1_05,1,CMRL_2_1
CMRL_2,weekday,CMRL_2_weekday_d1_08,1,CMRL_2_1
CMRL_2,weekday,CMRL_2_weekday_d1_11,1,CMRL_2_1
CMRL_2,weekday,CMRL_2_weekday_d1_17,1,CMRL_2_1
CMRL_2,weekday,CMRL_2_weekday_d1_20,1,CMRL_2_1
CMRL_2,weekday,CMRL_2_weekday_d1_22,1,CMRL_2_1
CMRL_2,saturday,CMRL_2_saturday_d0_05,0,CMRL_2_0
CMRL_2,saturday,CMRL_2_saturday_d0_08,0,CMRL_2_0
CMRL_2,saturday,CMRL_2_saturday_d0_11,0,CMRL_2_0
CMRL_2,saturday,CMRL_2_saturday_d0_17,0,CMRL_2_0
CMRL_2,saturday,CMRL_2_saturday_d0_20,0,CMRL_2_0
CMRL_2,saturday,CMRL_2_saturday_d0_22,0,CMRL_2_0
CMRL_2,saturday,CMRL_2_saturday_d1_05,1,CMRL_2_1
CMRL_2,saturday,CMRL_2_saturday_d1_08,1,CMRL_2_1
CMRL_2,saturday,CMRL_2_saturday_d1_11,1,CMRL_2_1
CMRL_2,saturday,CMRL_2_saturday_d1_17,1,CMRL_2_1
CMRL_2,saturday,CMRL_2_saturday_d1_20,1,CMRL_2_1
CMRL_2,saturday,CMRL_2_saturday_d1_22,1,CMRL_2_1
CMRL_2,sunday,CMRL_2_sunday_d0_05,0,CMRL_2_0
CMRL_2,sunday,CMRL_2_sunday_d0_12,0,CMRL_2_0
CMRL_2,sunday,CMRL_2_sunday_d0_20,0,CMRL_2_0
CMRL_2,sunday,CMRL_2_sunday_d0_22,0,CMRL_2_0
CMRL_2,sunday,CMRL_2_sunday_d1_05,1,CMRL_2_1
CMRL_2,sunday,CMRL_2_sunday_d1_12,1,CMRL_2_1
CMRL_2,sunday,CMRL_2_sunday_d1_20,1,CMRL_2_1
CMRL_2,sunday,CMRL_2_sunday_d1_22,1,CMRL_2_1
CMRL_3,weekday,CMRL_3_weekday_d0_05,0,
CMRL_3,weekday,CMRL_3_weekday_d0_08,0,
CMRL_3,weekday,CMRL_3_weekday_d0_11,0,
CMRL_3,weekday,CMRL_3_weekday_d0_17,0,
CMRL_3,weekday,CMRL_3_weekday_d0_20,0,
CMRL_3,weekday,CMRL_3_weekday_d0_22,0,
CMRL_3,weekday,CMRL_3_weekday_d1_05,1,
CMRL_3,weekday,CMRL_3_weekday_d1_08,1,
CMRL_3,weekday,CMRL_3_weekday_d1_11,1,
CMRL_3,weekday,CMRL_3_weekday_d1_17,1,
CMRL_3,weekday,CMRL_3_weekday_d1_20,1,
CMRL_3,weekday,CMRL_3_weekday_d1_22,1,
CMRL_3,saturday,CMRL_3_saturday_d0_05,0,
CMRL_3,saturday,CMRL_3_saturday_d0_08,0,
CMRL_3,saturday,CMRL_3_saturday_d0_11,0,
CMRL_3,saturday,CMRL_3_saturday_d0_17,0,
CMRL_3,saturday,CMRL_3_saturday_d0_20,0,
CMRL_3,saturday,CMRL_3_saturday_d0_22,0,
CMRL_3,saturday,CMRL_3_saturday_d1_05,1,
CMRL_3,saturday,CMRL_3_saturday_d1_08,1,
CMRL_3,saturday,CMRL_3_saturday_d1_11,1,
CMRL_3,saturday,CMRL_3_saturday_d1_17,1,
CMRL_3,saturday,CMRL_3_saturday_d1_20,1,
CMRL_3,saturday,CMRL_3_saturday_d1_22,1,
CMRL_3,sunday,CMRL_3_sunday_d0_05,0,
CMRL_3,sunday,CMRL_3_sunday_d0_12,0,
CMRL_3,sunday,CMRL_3_sunday_d0_20,0,
CMRL_3,sunday,CMRL_3_sunday_d0_22,0,
CMRL_3,sunday,CMRL_3_sunday_d1_05,1,
CMRL_3,sunday,CMRL_3_sunday_d1_12,1,
CMRL_3,sunday,CMRL_3_sunday_d1_20,1,
CMRL_3,sunday,CMRL_3_sunday_d1_22,1,
